N	<C,M,Q1,Q2,Q3>		Error
4	<1,1,1,1,2>		1064
4	<2,2,2,1,1>		272
4	<2,2,1,1,2>		847
4	<2,2,1,2,1>		875
4	<2,1,2,1,1>		3248
4	<2,1,1,1,2>		3912
4	<2,1,1,2,1>		2717
4	<1,2,2,1,1>		1375
4	<1,2,1,1,2>		1732
4	<1,2,1,2,1>		1616
4	<1,1,2,1,1>		878
4	<1,1,1,2,1>		1102
6	<1,1,1,3,2>		728
6	<2,1,2,2,2>		768
6	<2,1,2,3,1>		1386
6	<2,1,1,1,4>		3872
6	<2,1,1,2,3>		1740
6	<2,1,1,3,2>		1421
6	<2,1,1,4,1>		2171
6	<2,1,3,2,1>		1232
6	<1,1,1,2,3>		740
6	<1,1,1,1,4>		990
6	<1,2,4,1,1>		1150
6	<1,2,3,1,2>		834
6	<1,2,3,2,1>		717
6	<1,2,2,1,3>		944
6	<1,2,2,2,2>		556
6	<2,1,2,1,3>		2521
6	<1,1,3,1,2>		465
6	<2,1,3,1,2>		2247
6	<2,1,4,1,1>		2925
6	<1,1,1,4,1>		1022
6	<2,2,1,4,1>		870
6	<2,2,1,3,2>		813
6	<2,2,1,2,3>		806
6	<2,2,1,1,4>		838
6	<2,2,2,3,1>		257
6	<2,2,2,2,2>		204
6	<2,2,2,1,3>		213
6	<2,2,3,2,1>		127
6	<2,2,3,1,2>		95
6	<2,2,4,1,1>		97
6	<1,2,1,1,4>		1628
6	<1,1,4,1,1>		762
6	<1,1,3,2,1>		503
6	<1,1,2,1,3>		517
6	<1,1,2,2,2>		290
6	<1,1,2,3,1>		543
6	<1,2,1,2,3>		1185
6	<1,2,1,3,2>		1122
6	<1,2,1,4,1>		1436
6	<1,2,2,3,1>		764
8	<1,1,2,4,2>		210
8	<2,1,3,3,2>		328
8	<1,1,1,6,1>		1015
8	<1,1,1,5,2>		704
8	<1,1,1,4,3>		660
8	<1,1,1,3,4>		654
8	<1,1,1,2,5>		709
8	<1,1,1,1,6>		983
8	<1,1,2,5,1>		518
8	<2,2,6,1,1>		74
8	<1,1,2,3,3>		181
8	<1,1,2,2,4>		216
8	<1,1,2,1,5>		486
8	<2,1,6,1,1>		2875
8	<2,1,5,1,2>		2233
8	<2,1,5,2,1>		1232
8	<2,1,4,1,3>		2183
8	<2,1,4,2,2>		497
8	<2,1,4,3,1>		1116
8	<2,1,3,1,4>		2182
8	<2,1,3,2,3>		369
8	<2,2,2,1,5>		212
8	<2,2,5,1,2>		40
8	<2,2,5,2,1>		69
8	<2,2,4,1,3>		52
8	<2,2,4,2,2>		47
8	<2,2,4,3,1>		82
8	<2,2,3,1,4>		88
8	<2,2,3,2,3>		81
8	<2,2,3,3,2>		80
8	<2,2,3,4,1>		122
8	<2,2,1,6,1>		869
8	<2,2,2,2,4>		199
8	<2,2,2,3,3>		197
8	<2,2,2,4,2>		200
8	<2,2,2,5,1>		255
8	<2,2,1,1,6>		837
8	<2,2,1,2,5>		805
8	<2,2,1,3,4>		805
8	<2,2,1,4,3>		801
8	<2,2,1,5,2>		810
8	<1,2,2,1,5>		912
8	<1,2,6,1,1>		1135
8	<1,2,5,1,2>		787
8	<1,2,5,2,1>		671
8	<1,2,4,1,3>		719
8	<1,2,4,2,2>		331
8	<1,2,4,3,1>		539
8	<1,2,3,1,4>		730
8	<1,2,3,2,3>		286
8	<1,2,3,3,2>		223
8	<1,2,3,4,1>		538
8	<1,1,6,1,1>		757
8	<1,2,2,2,4>		452
8	<1,2,2,3,3>		334
8	<1,2,2,4,2>		377
8	<1,2,2,5,1>		716
8	<1,2,1,1,6>		1617
8	<1,2,1,2,5>		1152
8	<1,2,1,3,4>		1018
8	<1,2,1,4,3>		1006
8	<1,2,1,5,2>		1073
8	<1,2,1,6,1>		1421
8	<2,1,1,6,1>		2157
8	<2,1,2,1,5>		2523
8	<2,1,2,2,4>		646
8	<2,1,2,3,3>		430
8	<2,1,2,4,2>		461
8	<2,1,2,5,1>		1262
8	<2,1,1,1,6>		3852
8	<2,1,1,2,5>		1761
8	<2,1,1,3,4>		1269
8	<2,1,1,4,3>		1118
8	<2,1,1,5,2>		1285
8	<2,1,3,4,1>		1051
8	<1,1,3,4,1>		423
8	<1,1,3,3,2>		130
8	<1,1,3,2,3>		141
8	<1,1,3,1,4>		391
8	<1,1,4,3,1>		426
8	<1,1,4,2,2>		174
8	<1,1,4,1,3>		400
8	<1,1,5,2,1>		483
8	<1,1,5,1,2>		446
